
<Log started at 08-08-2022, 09:07:57.558>
09:07:57.593: 🐙 AzimuthSuite v1.0.0.0 
09:07:57.924: Loading settings from AzimuthSuit.settings
09:07:58.025: Current application settings:
09:07:58.028: 
-- UseAUXGNSSCompas: True
-- AUXGNSSCompasBaudrate: baudRate38400
-- IsUseOutputport: False
-- OutPortBaudrate: baudRate9600
-- RemoteAddressToOutput: REM_ADDR_1
-- HeadingAdjust_deg: 0
-- LongitudalOffset_m: 0
-- TransverseOffset_m: 0
-- Salinity_PSU: 0
-- AddressMask: 1
-- MaxDist_m: 500
09:08:10.030: IsActive=True
09:09:07.205: INFO: COM6 (GNSS) >> $HEHDT,332.44,T*1D
09:09:07.205: INFO: COM6 (GNSS) >> $HEROT,-118.0,A*0E
09:09:07.236: INFO: COM6 (GNSS) >> $GPGNS,060908.00,4830.0882310,N,04433.2368405,E,A,18,0.7,-1.325,3.763,,,S*69
09:09:07.267: INFO: COM6 (GNSS) >> $GNGNS,060908.00,4830.0882310,N,04433.2368405,E,AAA,18,0.7,-1.325,3.763,,,S*77
09:09:07.267: INFO: COM6 (GNSS) >> $GPGNS,060908.00,,,,,,9,,,,,,S*22
09:09:07.267: INFO: COM6 (GNSS) >> $GLGNS,060908.00,,,,,,1,,,,,,S*36
09:09:07.267: INFO: COM6 (GNSS) >> $GAGNS,060908.00,,,,,,3,,,,,,S*39
09:09:07.297: INFO: COM6 (GNSS) >> $GPRMC,060908.00,A,4830.0882310,N,04433.2368405,E,0.24,20.93,080822,9.6,E,A,S*7D
09:09:07.298: INFO: COM6 (GNSS) >> $GPHEV,0.69,*5D
09:09:07.298: INFO: COM6 (GNSS) >> $HEHDT,332.40,T*19
09:09:07.393: INFO: COM6 (GNSS) >> $HEHDT,332.31,T*1F
09:09:07.505: INFO: COM6 (GNSS) >> $HEHDT,332.18,T*14
09:09:07.602: INFO: COM6 (GNSS) >> $HEHDT,332.12,T*1E
09:09:07.698: INFO: COM6 (GNSS) >> $HEHDT,332.01,T*1C
09:09:07.754: INFO: COM17 (AZM) >> $PAZM3,1,0,0,0,30.8,-0.002737,-4.1,,0.0,272.0,90.0,1061.12,25.6,,3.8,-0.7
09:09:07.793: INFO: COM6 (GNSS) >> $HEHDT,331.99,T*1E
09:09:07.905: INFO: COM6 (GNSS) >> $HEHDT,331.96,T*11
09:09:08.001: INFO: COM6 (GNSS) >> $HEHDT,331.94,T*13
09:09:08.097: INFO: COM6 (GNSS) >> $HEHDT,331.98,T*1F
09:09:08.193: INFO: COM6 (GNSS) >> $HEHDT,331.97,T*10
09:09:08.209: INFO: COM6 (GNSS) >> $HEROT,-73.6,A*34
09:09:08.240: INFO: COM6 (GNSS) >> $GNGNS,060909.00,4830.0883129,N,04433.2368455,E,AAA,18,0.7,-1.298,3.763,,,S*7D
09:09:08.240: INFO: COM6 (GNSS) >> $GPGNS,060909.00,4830.0883129,N,04433.2368455,E,A,18,0.7,-1.298,3.763,,,S*63
09:09:08.271: INFO: COM6 (GNSS) >> $GPGNS,060909.00,,,,,,9,,,,,,S*23
09:09:08.271: INFO: COM6 (GNSS) >> $GLGNS,060909.00,,,,,,1,,,,,,S*37
09:09:08.271: INFO: COM6 (GNSS) >> $GAGNS,060909.00,,,,,,3,,,,,,S*38
09:09:08.302: INFO: COM6 (GNSS) >> $GPRMC,060909.00,A,4830.0883129,N,04433.2368455,E,0.29,16.74,080822,9.6,E,A,S*71
09:09:08.302: INFO: COM6 (GNSS) >> $GPHEV,0.68,*5C
09:09:08.302: INFO: COM6 (GNSS) >> $HEHDT,331.99,T*1E
09:09:08.398: INFO: COM6 (GNSS) >> $HEHDT,332.00,T*1D
09:09:08.494: INFO: COM6 (GNSS) >> $HEHDT,332.03,T*1E
09:09:08.538: INFO: COM17 (AZM) >> $PAZM3,1,0,0,0,18.7,-0.001175,-1.7,,0.0,87.0,90.0,1061.21,25.6,,3.7,-2.3
09:09:08.606: INFO: COM6 (GNSS) >> $HEHDT,332.07,T*1A
09:09:08.702: INFO: COM6 (GNSS) >> $HEHDT,332.14,T*18
09:09:08.798: INFO: COM6 (GNSS) >> $HEHDT,332.13,T*1F
09:09:08.894: INFO: COM6 (GNSS) >> $HEHDT,332.20,T*1F
09:09:09.006: INFO: COM6 (GNSS) >> $HEHDT,332.23,T*1C
09:09:09.102: INFO: COM6 (GNSS) >> $HEHDT,332.30,T*1E
09:09:09.198: INFO: COM6 (GNSS) >> $HEROT,-51.2,A*30
09:09:09.198: INFO: COM6 (GNSS) >> $HEHDT,332.22,T*1D
09:09:09.230: INFO: COM6 (GNSS) >> $GPGNS,060910.00,4830.0883841,N,04433.2368393,E,A,19,0.6,-1.219,3.763,,,S*68
09:09:09.261: INFO: COM6 (GNSS) >> $GNGNS,060910.00,4830.0883841,N,04433.2368393,E,AAA,19,0.6,-1.219,3.763,,,S*76
09:09:09.261: INFO: COM6 (GNSS) >> $GPGNS,060910.00,,,,,,9,,,,,,S*2B
09:09:09.261: INFO: COM6 (GNSS) >> $GLGNS,060910.00,,,,,,1,,,,,,S*3F
09:09:09.292: INFO: COM6 (GNSS) >> $GAGNS,060910.00,,,,,,4,,,,,,S*37
09:09:09.292: INFO: COM6 (GNSS) >> $GPHEV,0.72,*57
09:09:09.292: INFO: COM6 (GNSS) >> $GPRMC,060910.00,A,4830.0883841,N,04433.2368393,E,0.26,8.34,080822,9.6,E,A,S*47
09:09:09.308: INFO: COM6 (GNSS) >> $HEHDT,332.25,T*1A
09:09:09.321: INFO: COM17 (AZM) >> $PAZM3,1,0,0,0,20.3,-0.002087,-3.1,,0.0,68.1,90.0,1060.93,25.6,,6.1,-0.3
09:09:09.404: INFO: COM6 (GNSS) >> $HEHDT,332.22,T*1D
